date,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2008-12,23.143145161290324,17218.5,4.456038448503228,35.3357,31.837,22.844220430107526,35.7,13.2,1.9399193548387097,70.16935483870968,21.82813888888889,18.962889784946235,15.300777777777776
2009-01,23.716317204301074,17644.94,4.258341779316783,33.7128,31.584,23.198252688172044,33.1,14.7,1.878225806451613,73.50268817204301,23.143145161290324,21.82813888888889,18.962889784946235
2009-02,25.13485119047619,16890.62,4.084841409037586,34.73799999999999,33.0245,24.37842261904762,34.0,16.1,1.6555059523809523,72.45982142857143,23.716317204301074,23.143145161290324,21.82813888888889
2009-03,23.966008064516128,17830.71,3.695916382403992,33.452300000000015,31.0655,23.350806451612904,32.5,14.2,1.612768817204301,75.61155913978494,25.13485119047619,23.716317204301074,23.143145161290324
2009-04,20.75398611111111,14942.87,4.245225651752707,31.644899999999982,28.560999999999996,20.730277777777776,33.1,11.3,1.3020833333333333,71.42777777777778,23.966008064516128,25.13485119047619,23.716317204301074
2009-05,17.50329301075269,13022.45,4.514770559628518,27.797000000000004,25.987,17.660618279569892,29.4,7.4,1.1350806451612903,76.78763440860214,20.75398611111111,23.966008064516128,25.13485119047619
2009-06,12.698875000000001,9143.19,4.072629730160195,24.068599999999996,19.950999999999997,13.245972222222223,26.1,4.0,1.2194444444444446,79.16527777777777,17.50329301075269,20.75398611111111,23.966008064516128
2009-07,11.190927419354837,8326.05,4.616306789152514,22.089600000000015,18.5,11.878629032258065,25.1,0.4,1.303763440860215,76.49596774193549,12.698875000000001,17.50329301075269,20.75398611111111
2009-08,15.987419354838709,11894.64,5.453739335457226,30.139900000000004,27.407,16.379032258064516,33.1,5.0,1.437768817204301,75.03897849462365,11.190927419354837,12.698875000000001,17.50329301075269
2009-09,16.57345833333333,11932.89,3.8768843664046613,26.905299999999993,23.975499999999993,16.754444444444445,28.2,7.8,1.778611111111111,79.75,15.987419354838709,11.190927419354837,12.698875000000001
