date,hospitalizations,hospitalizations_lag_3,average_stay_lag_3,deaths_lag_3,mortality_rate_lag_3,hospitalizations_lag_3_12m_window,average_stay_lag_3_12m_window,deaths_lag_3_12m_window,mortality_rate_lag_3_12m_window,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2009-09-01,3907.0,3542.0,6.0,316.0,8.92,3562.5,6.05,300.9166666666667,8.415833333333333,16.57345833333333,11932.89,3.876884366404661,26.905299999999997,23.975499999999997,16.754444444444445,28.2,7.8,1.778611111111111,79.75,15.987419354838709,11.190927419354836,12.698875
2009-10-01,3768.0,3538.0,6.4,342.0,9.67,3530.25,6.066666666666667,298.9166666666667,8.445,18.51970430107527,13778.66,4.841552526620976,33.3071,28.1155,18.65766129032258,34.1,10.2,1.7143817204301075,73.12231182795699,16.57345833333333,15.987419354838709,11.190927419354836
2009-11-01,3409.0,3503.0,6.2,345.0,9.85,3507.833333333333,6.05,298.0,8.479166666666666,23.58125,16978.5,4.043740414988434,36.66389999999999,32.26,22.904444444444444,35.0,16.0,1.6344444444444444,79.4375,18.51970430107527,16.57345833333333,15.987419354838709
2009-12-01,3320.0,3907.0,6.2,321.0,8.22,3523.833333333333,6.05,295.1666666666667,8.3675,24.29170698924731,18073.03,4.823780696170016,36.6871,33.755,23.51088709677419,34.2,13.3,1.748790322580645,74.61962365591398,23.58125,18.51970430107527,16.57345833333333
2010-01-01,3449.0,3768.0,6.3,290.0,7.7,3505.25,6.066666666666667,289.25,8.255,25.885967741935485,19259.16,4.171026240227937,36.87520000000002,34.12,24.804166666666667,34.0,17.8,1.564516129032258,75.03225806451613,24.29170698924731,23.58125,18.51970430107527
2010-02-01,3103.0,3409.0,6.0,313.0,9.18,3506.9166666666665,6.066666666666667,292.0,8.331666666666665,27.98519345238095,18806.05,6.032722095295205,42.78189999999999,39.70549999999999,26.27872023809524,38.2,14.0,1.5169642857142858,71.76190476190476,25.885967741935485,24.29170698924731,23.58125
2010-03-01,3250.0,3320.0,6.2,273.0,8.22,3497.75,6.083333333333333,291.5833333333333,8.341666666666667,24.01065860215054,17863.93,3.298100227516881,32.072400000000016,30.0855,23.4239247311828,32.6,13.9,1.4809139784946237,76.93682795698925,27.98519345238095,25.885967741935485,24.29170698924731
2010-04-01,3162.0,3449.0,6.0,286.0,8.29,3516.25,6.099999999999999,292.1666666666667,8.311666666666666,20.22629166666667,14562.93,4.706169093488786,32.68959999999999,29.345999999999997,20.13361111111111,33.0,9.5,1.1872222222222222,75.59861111111111,24.01065860215054,27.98519345238095,25.885967741935485
2010-05-01,3505.0,3103.0,6.0,245.0,7.9,3493.9166666666665,6.091666666666666,292.4166666666667,8.371666666666668,17.1272311827957,12742.66,2.967967863461769,24.402800000000003,22.437,17.181451612903224,25.3,10.2,1.4801075268817203,83.17876344086021,20.22629166666667,24.01065860215054,27.98519345238095
2010-06-01,3455.0,3250.0,6.0,286.0,8.8,3461.583333333333,6.091666666666666,295.0833333333333,8.523333333333333,14.593930555555554,10507.63,3.9263162931120834,24.861499999999992,20.985499999999995,14.950416666666666,26.9,4.5,1.176111111111111,80.07638888888889,17.1272311827957,20.22629166666667,24.01065860215054
2010-07-01,3565.0,3162.0,6.1,232.0,7.34,3442.6666666666665,6.116666666666667,294.4166666666667,8.545,14.03008064516129,10438.38,5.3515778726465575,27.175700000000003,23.9185,14.475940860215054,29.8,3.5,1.3440860215053765,78.02150537634408,14.593930555555554,17.1272311827957,20.22629166666667
2010-08-01,3814.0,3505.0,6.2,269.0,7.67,3454.6666666666665,6.133333333333333,293.1666666666667,8.479999999999999,13.946841397849465,10376.45,5.283239717021821,28.4614,23.2055,14.446639784946235,32.6,3.0,1.3370967741935482,76.67204301075269,14.03008064516129,14.593930555555554,17.1272311827957
2010-09-01,3726.0,3455.0,6.2,269.0,7.79,3447.4166666666665,6.15,289.25,8.385833333333332,17.040263888888887,12268.99,3.099140050731626,24.63199999999999,22.1605,17.21472222222222,26.6,9.6,1.7965277777777775,78.39027777777778,13.946841397849465,14.03008064516129,14.593930555555554
2010-10-01,3689.0,3565.0,6.5,286.0,8.02,3449.6666666666665,6.158333333333332,284.5833333333333,8.248333333333333,17.79584677419355,13240.11,3.78165762726723,26.40740000000004,24.579000000000004,18.02903225806452,27.5,8.7,1.5283602150537634,72.88844086021506,17.040263888888887,13.946841397849465,14.03008064516129
2010-11-01,3644.0,3814.0,6.4,341.0,8.94,3475.583333333333,6.175,284.25,8.1725,20.626375,14850.99,4.491959195199257,32.0372,28.1025,20.706805555555555,34.9,11.0,1.6904166666666665,68.97083333333333,17.79584677419355,17.040263888888887,13.946841397849465
2010-12-01,3672.0,3726.0,6.4,370.0,9.93,3460.5,6.191666666666667,288.3333333333333,8.315,23.794516129032257,17703.12,4.604983231199852,33.8414,31.557,23.300940860215057,35.0,11.9,1.9096774193548387,71.04569892473118,20.626375,17.79584677419355,17.040263888888887
2011-01-01,3127.0,3689.0,6.5,313.0,8.48,3453.9166666666665,6.208333333333333,290.25,8.38,27.004193548387097,20091.12,4.331689066606287,38.34700000000001,35.908,25.59744623655914,36.0,20.6,1.630779569892473,76.6491935483871,23.794516129032257,20.626375,17.79584677419355
2011-02-01,2908.0,3644.0,6.5,323.0,8.86,3473.5,6.25,291.0833333333333,8.353333333333333,25.688809523809525,17262.88,3.832155939803762,37.9458,32.94749999999999,24.592559523809523,35.6,18.1,1.5686011904761905,78.05505952380952,27.004193548387097,23.794516129032257,20.626375
2011-03-01,3350.0,3672.0,6.1,272.0,7.41,3502.833333333333,6.241666666666667,291.0,8.285833333333334,23.21755376344086,17273.86,3.8796895554804074,33.5555,31.189000000000004,22.77728494623656,32.7,14.2,1.7294354838709678,74.04838709677419,25.688809523809525,27.004193548387097,23.794516129032257
2011-04-01,3121.0,3127.0,6.0,242.0,7.74,3476.0,6.241666666666667,287.3333333333333,8.24,20.441902777777777,14718.17,3.7929480156975046,30.24349999999998,27.332,20.247222222222224,30.0,11.3,1.0033333333333334,78.7875,23.21755376344086,25.688809523809525,27.004193548387097
2011-05-01,3297.0,2908.0,5.8,254.0,8.73,3459.75,6.2250000000000005,288.0833333333333,8.309166666666666,16.302674731182798,12129.19,3.391817240881103,25.18830000000001,22.003500000000003,16.486021505376346,27.3,9.5,1.0643817204301076,80.76478494623656,20.441902777777777,23.21755376344086,25.688809523809525
2011-06-01,3456.0,3350.0,5.9,236.0,7.04,3468.083333333333,6.216666666666668,283.9166666666667,8.1625,13.19323611111111,9499.13,4.338645334407532,22.9591,20.532,13.685555555555556,25.7,4.4,1.1929166666666666,79.70972222222223,16.302674731182798,20.441902777777777,23.21755376344086
2011-07-01,3547.0,3121.0,6.0,227.0,7.27,3464.6666666666665,6.208333333333333,283.5,8.156666666666668,12.543306451612905,9332.22,5.105956733763485,25.60260000000001,20.807,12.952016129032256,28.0,2.0,1.3038978494623656,82.7258064516129,13.19323611111111,16.302674731182798,20.441902777777777
2011-08-01,3482.0,3297.0,6.0,286.0,8.67,3447.333333333333,6.191666666666667,284.9166666666667,8.24,14.006868279569892,10421.11,4.9919946685990055,28.909800000000004,22.133000000000003,14.43736559139785,32.2,2.5,1.8190860215053768,79.2002688172043,12.543306451612905,13.19323611111111,16.302674731182798
2011-09-01,3641.0,3456.0,6.2,313.0,9.06,3447.4166666666665,6.191666666666667,288.5833333333333,8.345833333333333,15.9545,11487.24,4.916956132384,29.944499999999977,24.3405,16.326666666666668,33.4,5.3,1.4927777777777778,74.67777777777778,14.006868279569892,12.543306451612905,13.19323611111111
2011-10-01,3477.0,3547.0,6.3,338.0,9.53,3445.9166666666665,6.175000000000001,292.9166666666667,8.471666666666666,19.42954301075269,14455.58,3.7686298913405274,29.686000000000043,25.839500000000005,19.504301075268817,33.5,10.2,1.635215053763441,73.43010752688173,15.9545,14.006868279569892,12.543306451612905
2011-11-01,3480.0,3482.0,6.4,318.0,9.13,3418.25,6.175,291.0,8.4875,21.53620833333333,15506.07,4.668268099597735,34.0681,30.1925,21.49888888888889,34.3,12.1,1.8483333333333327,67.84166666666667,19.42954301075269,15.9545,14.006868279569892
2011-12-01,3220.0,3641.0,6.1,293.0,8.05,3411.1666666666665,6.15,284.5833333333333,8.330833333333333,22.722110215053764,16905.25,4.301928389617557,33.846800000000016,31.0285,22.528091397849465,35.4,14.9,1.7405913978494625,68.90994623655914,21.53620833333333,19.42954301075269,15.9545
2012-01-01,3072.0,3477.0,6.4,300.0,8.63,3393.5,6.141666666666666,283.5,8.343333333333334,24.99650537634409,18597.4,4.729036521879891,37.10540000000001,33.9495,24.28924731182796,35.5,17.4,1.7530913978494622,71.51478494623656,22.722110215053764,21.53620833333333,19.42954301075269
2012-02-01,3223.0,3480.0,6.2,274.0,7.87,3379.833333333333,6.116666666666666,279.4166666666667,8.260833333333332,27.55373563218391,19177.4,4.984807174980361,39.26199999999998,37.145,26.22298850574713,38.4,18.1,1.389080459770115,71.86494252873563,24.99650537634409,22.722110215053764,21.53620833333333
2012-03-01,3279.0,3220.0,6.0,207.0,6.43,3342.1666666666665,6.108333333333333,274.0,8.179166666666667,23.645994623655916,17592.62,5.374963177310217,36.6157,34.65350000000001,23.15215053763441,36.1,10.2,1.2643817204301075,70.75268817204301,27.55373563218391,24.99650537634409,22.722110215053764
2012-04-01,3173.0,3072.0,5.8,236.0,7.68,3337.583333333333,6.091666666666666,273.5,8.174166666666666,19.62251388888889,14128.21,4.729342041683353,29.6786,27.90099999999999,19.628888888888888,32.9,8.7,1.1925,74.95138888888889,23.645994623655916,27.55373563218391,24.99650537634409
2012-05-01,3368.0,3223.0,5.6,263.0,8.16,3363.833333333333,6.075,274.25,8.126666666666667,18.490752688172044,13757.12,4.576490450464857,28.161200000000008,26.024,18.54220430107527,29.6,7.5,0.9870967741935484,76.81854838709677,19.62251388888889,23.645994623655916,27.55373563218391
2012-06-01,3486.0,3279.0,5.9,250.0,7.62,3357.9166666666665,6.074999999999999,275.4166666666667,8.174999999999999,14.270458333333332,10274.73,5.740108302316488,28.4424,24.65249999999998,14.65111111111111,29.3,1.1,0.9216666666666667,77.75694444444444,18.490752688172044,19.62251388888889,23.645994623655916
2012-07-01,3476.0,3173.0,5.7,239.0,7.53,3362.25,6.05,276.4166666666667,8.196666666666667,12.547889784946236,9335.63,5.246953020430368,28.35550000000001,22.7705,13.161424731182796,30.2,3.1,1.2404569892473118,77.11693548387096,14.270458333333332,18.490752688172044,19.62251388888889
